country,name,description
argentina,Activa Cro,"Activa Cro is a Regional Contract Research Organization operating in Latin America (South American Cro), that provides clinical research services to the pharmaceutical , biotechnology and medical device/diagnostic industry in Argentina, Brazil, Chile, Colombia, México, Panama, Perú, Ecuador and Uruguay. "
argentina,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
argentina,Egeen International,"EGeen International, Inc. is a global, specialized, rapid-response Contract Research Organization (CRO). Our business is to advance the drug development of biotech and pharmaceutical companies by offering fast, high quality and cost-effective clinical trial management services. EGeen is headquartered in Silicon Valley (Milpitas, CA), with additional management offices in Maryland and London, England. EGeen manages and maintains an extensive Eastern European Clinical Operations Network for clinical trials operation and management. EGeen specializes in clinical trials of biologics, therapeutic vaccines, drug/device combinations and various formulations of small molecule drugs. Our operational specialty areas are neurology, cardiology, oncology, psychology, urology and gastroenterology. EGeen places particular emphasis on clinical trial rescue enrollment through rapid patient access and quicker, more personalized rapid response trial execution. Through its Eastern European offices, which include 40 full time personnel and four regional offices, we combine the local presence, experience and cost advantages associated with Eastern Europe with all appropriate international clinical standards associated with the FDA and the European Union. "
argentina,Ethica Clinical,"Ethica CRO Inc. is a full-service Contract Research Organization (CRO) that conducts and manages ethical clinical research on drugs, biologics, medical devices and natural health products. "
argentina,Kriger Research Group International (KRC),"Kriger Research Group International provides clinical research services for pharmaceutical and biotechnology product development from phase II through phase IV for US, Canadian, European and multinational pharmaceutical companies. KRGI is your way to high quality design, conduct and analysis of clinical trials. "
argentina,Rxcel Partners,"Rxcel Partners is a consulting firm headquartered outside of New York City with consultants located in the Northeast, Southeast, Midwest and West, dedicated to providing the pharmaceutical, biotechnology, medical device and venture capital industries with strategic clinical outsourcing and product support.CROWe have hand-selected one best-in-class CRO for each geography – the CRO with the experience, reputation, leadership, systems and technology needed to provide exceptional services for your upcoming clinical trial needs. Through these exclusive partnerships, you are assured of experienced partners who provide proven quality, and cost effective solutions to the global biopharmaceutical industry.PRODUCT DEVELOPMENT / COMMERCIALIZATION SUPPORTRxcel Partners understands what real product differentiation means and how to assess a product’s true opportunity for the best business decisions. We also understand knowing whether your strategy and messaging are resonating with customers can make or break a product’s entire lifecycle or deal potential. Whatever the issue may be, during development or commercialization, Rxcel Partners have the experience, contacts and smart thinking to help you reach the best decision for your business.OUR MISSION:To provide sponsors with an innovative, efficient, and effective approach to running clinical trials globally and product commercialization support globally. "
australia,Avance Clinical,"With our team of experienced personnel and state-of-the-art technology, we are the premier CRO of choice in Australia offering a full suite of services in-house.Avance Clinical's clinical and data capabilities cover all phases and therapeutic areas of drug development.Operates as an efficient multiservice CROCollaborates with clinical Phase I sitesAll co-located in Institutions: access to patients in line with their specialities, including oncologyStrong experience in both early and late stage studiesDemonstrated history of success and reputationEMA and FDA inspected "
australia,Covance,"Covance Inc., a global contract research organization (CRO), is the world’s most comprehensive drug development company.Covance Inc., the drug development business of LabCorp®, is the world’s most comprehensive drug development company, dedicated to advancing healthcare and delivering Solutions Made Real®. Our unique perspectives, built from decades of scientific expertise and precision delivery of the largest volume of drug development data in the world, along with our innovative technology solutions, help our clients identify new approaches and anticipate tomorrow’s challenges as they evolve. Together with our clients, Covance transforms today’s healthcare challenges into tomorrow’s solutions. We also offer laboratory testing services to the chemical/agrochemical industries and are a market leader in toxicology services, central laboratory services, discovery services and a top global provider of Phase III clinical trial management services. "
australia,Dava Oncology,DAVA Oncology is a strategic consulting company which offers numerous products and services customized to fit biopharmaceutical drug development needs. 
australia,Factum,We ensure that contracts from the pharmaceutical industry are performed competently and are client-focused. Data from more than 1.5 million patients has been processed in the meantime. 
australia,Omnicare,"Count on us to handle the details, so you can focus on quality care.For post-acute or senior living residents who rely on your experienced staff to help manage their medications or do it themselves we offer cost-effective, best-in-class pharmacy services that are designed to support each unique member of your community. "
australia,Promedica International,"With a track record of more than three decades working with industry leaders, mid-size and start–up companies, Promedica International (PMI) can support your clinical research projects with a wide range of specialized clinical study services, including:Clinical study design, management and monitoring for pre- and post-market studiesClinical data management and analysis services for pre- and post-market studiesMedical writingAuditing and training for GCPProduct development and Product commercializationWhether you contract Promedica for all or part of your project, you will work with a senior level team of research specialists who are experienced in project management, data management, and clinical services. Our project teams are carefully assembled to match your project requirements and organizational structure, and we form a partnership with you to conduct research that meets your specific goals and objectives.Our focus is to deliver professional quality work in an efficient manner so you can achieve your goals faster. From strategic planning through the market introduction process, Promedica International provides the people, processes and performance to facilitate the successful completion of your research project. "
austria,Celerion,"Celerion, a leader in early clinical research, delivers Applied Translational Medicine.In Applied Translational Medicine, Celerion applies our expertise and experience to translating information gained in research discoveries, to knowledge of drug action and effect in humans to support early drug development decisions and the clinical pharmacology labeling of new medicines.The name Celerion is derived from the Latin celeritas meaning swiftness and speed. Our name reflects our founding principle – to help our clients get their products to the market faster.Celerion’s focus is on the implementation of innovative strategies to generate key data very early to enable go/no-go decisions in drug development. With a large clinical capacity of more than 600 beds (24 in-hospital), efficient bioanalytical laboratories and experienced scientific staff, Celerion offers one of the most experienced clinical pharmacology research networks in the industry. "
austria,Health Decisions,"Health Decisions is a full-service CRO specializing in clinical studies of therapeutics for women’s health indications and studies of diagnostics for all therapeutic areas. Health Decisions has focused on women’s health since its inception more than 29 years ago, conducting more than 140 trials in women-only indications such as contraception and postmenopausal vasomotor symptoms. More than a decade ago, Health Decisions expanded into diagnostics studies with a large PMA study of a screening test for high-risk HPV types – the precursors of cervical cancer. Building on the success of the HPV study, Health Decisions has conducted successful diagnostics studies in a variety of other indications in women’s health and beyond, including diagnostics for risk of preterm birth, STIs, a variety of respiratory indications and oncology indications such as colorectal cancer and urothelial carcinoma. Health Decisions has provided services enabling many developers of both women’s health products and diagnostics to meet their development and business goals and looks forward to successful collaborations with many more. We take pride in offering the flexibility to tailor services to each sponsor in a manner that builds on the strengths of both development partners. "
austria,North Carolina Clinical Research (NCCR),"North Carolina Clinical Research (NCCR) is an independent, multi-therapeutic outpatient clinical research site located in Raleigh, North Carolina. NCCR has conducted Phase I, II, III and IV clinical trials in both children and adults since 1986. We have completed over 600 studies in a variety of therapeutic areas for many different pharmaceutical companies and Clinical Research Organizations (CROs). The NCCR facilities and staff are dedicated 100% to Clinical Research "
austria,Omnicare,"Count on us to handle the details, so you can focus on quality care.For post-acute or senior living residents who rely on your experienced staff to help manage their medications or do it themselves we offer cost-effective, best-in-class pharmacy services that are designed to support each unique member of your community. "
austria,TGA BioServices,"TGA BioServices, an Absorption Systems company, is a contract research organization (CRO) providing the Pharmaceutical, Biotechnology and Academic communities a comprehensive range of laboratory services in support of basic research and development as well as for clinical studies. We serve clients both in the U.S. and internationally.We offer the client a complete package of customized testing systems utilized in preclinical through Phase IV studies. TGA BioServices (FDA/EMA registered and inspected) provides GLP and cGMP regulatory-compliant services for FDA/EMA-level applications and submissions when requested by the client. We offer dedicated QA/QC personnel to insure compliance to required guidelines. TGA BioServices specializes in the development and validation of immunoassay systems for the detection of target molecules, antibody responses, and quantification. "
austria,The Smerud Medical Research Group,"The Smerud Medical Research Group (SMERUD) is a full-service clinical Contract Research Organisation operating in the Northern European area with head office in Norway and subsidiary offices in Denmark, Finland, Sweden, United Kingdom, Germany, Austria, Poland and Canada. In recent years, SMERUD has achieved an unrivalled position in Europe as the CRO for obtaining public grants for clinical trials. Our consistent and huge investment into internal R&D projects has enabled us to act both as a successful grant writer and as a risk-sharing co-development partner for many of our clients. Our project-orientated co-investment service has been particularly welcomed by smaller, cash-strapped biotech companies – seeing this offer as an excellent source of non-dilutive funding. SMERUD has – together with its associated venture firm Scandinavian Biotech Venture AS – become one of the largest private biotech investors in the Nordic countries "
belgium,Aepodia,"Aepodia’s history starts in 2007. Spin-out of a top 10 US Pharma Company, Aepodia was created by a group of experts in early-phase clinical development. Since its creation, Aepodia has confirmed its reputation by designing, preparing and conducting more than 90 Projects in healthy volunteers or patients with a strong focus on client’s needs and results outcomes.Aepodia has established solid and effective collaborations with pharmaceutical companies over the world (EU, US, Japan), as well as with biotech companies in Europe.Aepodia experience has continuously grown and the company provides now a full services range covering all steps of a clinical trial. We have built a strong and worldwide reputation in the early clinical drug development sector.The highly experienced management and staff members have background in pharmaceutical development that allows to understand sponsor requirements and challenges and to answer to their needs in an optimal way. Aepodia provides to its clients innovative solutions by combined and adaptive design approaches. The results delivered by Aepodia enable to make valuable, pertinent, and rapid decisions on future development plans, based on robust and high-quality data supported by a lean and flexible organization.Our headquarters are located in Louvain-La-Neuve, Belgium, with offices in Paris-La Défense, France. Thanks to our strategic location in the centre of Europe, we can cover the European phase I units. We support clinical trials in Europe and United-States but we have also easy access to patient’s specific populations through our network. "
